,Countries,Total Cases,New Cases,total Deaths,todays Deaths,total Recoveries
0,"
North America
","537,569",+728,"19,876",+54,"34,462"
1,"
Europe
","832,217","+12,108","70,953",+890,"201,946"
2,"
Asia
","279,601","+4,560","10,431",+207,"141,309"
3,"
South America
","45,165",+189,"1,817",+8,"4,692"
4,"
Oceania
","7,691",+83,60,+4,"3,688"
5,"
Africa
","13,716",+177,701,+4,"2,303"
6,"

",721,,13,,619
7,World,"1,716,680","+17,845","103,851","+1,167","389,019"
8,USA,"503,177",+301,"18,761 ",+14,"27,314"
9,Spain,"161,852","+3,579","16,353 ",+272,"59,109"
10,Italy,"147,577",,"18,849 ",,"30,455"
11,France,"124,869",,"13,197 ",,"24,932"
12,Germany,"122,530",+359,"2,736 ",,"53,913"
13,UK,"73,758",,"8,958 ",,344
14,Iran,"70,029","+1,837","4,357 ",+125,"41,947"
15,Turkey,"47,029",,"1,006 ",,"2,423"
16,Belgium,"28,018","+1,351","3,346 ",+327,"5,986"
17,Switzerland,"24,900",+349,"1,003 ",+1,"11,100"
18,Netherlands,"24,413","+1,316","2,643 ",+132,250
19,Canada,"22,148",,569 ,,"6,013"
20,Brazil,"19,943",+154,"1,074 ",+6,173
21,Portugal,"15,987",+515,470 ,+35,266
22,Austria,"13,776",+216,337 ,+18,"6,604"
23,Russia,"13,584","+1,667",106 ,+12,"1,045"
24,Israel,"10,525",+117,96 ,+1,"1,258"
25,S. Korea,"10,480",+30,211 ,+3,"7,243"
26,Sweden,"10,151",+466,887 ,+17,381
27,Ireland,"8,089",,287 ,,25
28,India,"7,876",+276,249 ,,774
29,Ecuador,"7,161",,297 ,,368
30,Chile,"6,501",,65 ,,"1,571"
31,Norway,"6,360",+46,114 ,+1,32
32,Australia,"6,292",+54,56 ,+2,"3,265"
33,Poland,"6,088",+133,195 ,+14,375
34,Japan,"6,005",,99 ,,762
35,Denmark,"5,996",+177,260 ,+13,"1,955"
36,Romania,"5,990",+523,282 ,+12,758
37,Peru,"5,897",,169 ,,"1,569"
38,Czechia,"5,735",+3,123 ,+4,370
39,Pakistan,"4,892",+197,77 ,+11,762
40,Malaysia,"4,530",+184,73 ,+3,"1,995"
41,Philippines,"4,428",+233,247 ,+26,157
42,Saudi Arabia,"4,033",+382,52 ,+5,720
43,Mexico,"3,844",+403,233 ,+39,633
44,Indonesia,"3,842",+330,327 ,+21,286
45,Serbia,"3,380",+275,74 ,+3,118
46,UAE,"3,360",,16 ,,418
47,Luxembourg,"3,223",,54 ,,500
48,Panama,"2,974",,74 ,,17
49,Finland,"2,905",+136,49 ,+1,300
50,Qatar,"2,728",+216,6 ,,247
51,Dominican Republic,"2,620",,126 ,,98
52,Thailand,"2,518",+45,35 ,+2,"1,135"
53,Ukraine,"2,511",+308,73  ,+4,79
54,Colombia,"2,473",,80 ,,197
55,Belarus,"2,226",+245,23 ,+4,172
56,Singapore,"2,108",,7 ,,492
57,Greece,"2,011",,92 ,,269
58,South Africa,"2,003",,24 ,,410
